Year,Team_x,Season or Playoff,Rank,Player,Age,Games,Games Started,Minutes Played,Field Goal,Field Goal Attempts,Field Goal %,3 Point Field Goals,3 Point Field Goals Attempts,3 Point Field Goals %,2 Point Field Goals,2 Point Field Goals Attempts,2 Point Field Goals %,Free Throws,Free Throw Attempts,Free Throw Attempts %,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Round,Pick,Team_y,Prior Team,College
2022,Washington Mystics,Regular Season,15,Jazmine Jones,25,1,0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2022,Washington Mystics,Playoffs,1,Natasha Cloud,30,2,2,71.0,13.0,26.0,0.5,7.0,10.0,0.7,6.0,16.0,0.375,4.0,4.0,1.0,0.0,12.0,12.0,6.0,1.0,3.0,6.0,3.0,37.0,,,,,
2022,Washington Mystics,Playoffs,2,Ariel Atkins,25,2,2,66.0,11.0,29.0,0.379,7.0,14.0,0.5,4.0,15.0,0.267,2.0,2.0,1.0,2.0,1.0,3.0,11.0,1.0,0.0,2.0,8.0,31.0,,,,,
2022,Washington Mystics,Playoffs,3,Elena Delle Donne,32,2,2,66.0,16.0,31.0,0.516,1.0,9.0,0.111,15.0,22.0,0.682,5.0,5.0,1.0,2.0,3.0,5.0,10.0,1.0,2.0,3.0,5.0,38.0,,,,,
2022,Washington Mystics,Playoffs,4,Shakira Austin,21,2,2,54.0,6.0,13.0,0.462,0.0,0.0,,6.0,13.0,0.462,2.0,4.0,0.5,6.0,9.0,15.0,2.0,2.0,1.0,5.0,3.0,14.0,1.0,3.0,Washington Mysticsfrom Atlanta,Mississippi,Mississippi
2022,Washington Mystics,Playoffs,5,Alysha Clark,34,2,2,51.0,4.0,7.0,0.571,2.0,4.0,0.5,2.0,3.0,0.667,2.0,3.0,0.667,0.0,7.0,7.0,6.0,3.0,1.0,1.0,5.0,12.0,,,,,
2022,Washington Mystics,Playoffs,6,Shatori Walker-Kimbrough,27,2,0,41.0,5.0,9.0,0.556,3.0,6.0,0.5,2.0,3.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,15.0,,,,,
2022,Washington Mystics,Playoffs,7,Myisha Hines-Allen,26,2,0,29.0,2.0,11.0,0.182,0.0,1.0,0.0,2.0,10.0,0.2,6.0,6.0,1.0,2.0,5.0,7.0,4.0,2.0,0.0,2.0,1.0,10.0,,,,,
2022,Washington Mystics,Playoffs,8,Rui Machida,29,2,0,11.0,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,,,,,
2022,Washington Mystics,Playoffs,9,Elizabeth Williams,29,2,0,11.0,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,4.0,0.25,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,,,,,
2022,Dallas Wings,Regular Season,1,Allisha Gray,27,33,33,1086.0,146.0,345.0,0.423,64.0,157.0,0.408,82.0,188.0,0.436,83.0,104.0,0.798,29.0,130.0,159.0,84.0,37.0,24.0,42.0,78.0,439.0,,,,,
2022,Dallas Wings,Regular Season,2,Kayla Thornton,29,36,35,1050.0,97.0,206.0,0.471,25.0,76.0,0.329,72.0,130.0,0.554,68.0,82.0,0.829,65.0,146.0,211.0,65.0,39.0,20.0,42.0,97.0,287.0,,,,,
2022,Dallas Wings,Regular Season,3,Marina Mabrey,25,34,32,951.0,178.0,424.0,0.42,61.0,174.0,0.351,117.0,250.0,0.468,47.0,69.0,0.681,20.0,104.0,124.0,125.0,28.0,13.0,83.0,86.0,464.0,,,,,
2022,Dallas Wings,Regular Season,4,Arike Ogunbowale,25,30,30,941.0,204.0,510.0,0.4,83.0,236.0,0.352,121.0,274.0,0.442,99.0,124.0,0.798,18.0,80.0,98.0,108.0,45.0,3.0,54.0,65.0,590.0,,,,,
2022,Dallas Wings,Regular Season,5,Isabelle Harrison,28,35,18,644.0,116.0,249.0,0.466,2.0,2.0,1.0,114.0,247.0,0.462,72.0,83.0,0.867,48.0,102.0,150.0,46.0,26.0,5.0,46.0,73.0,306.0,,,,,
2022,Dallas Wings,Regular Season,6,Teaira McCowan,25,33,15,623.0,139.0,231.0,0.602,0.0,0.0,,139.0,231.0,0.602,84.0,140.0,0.6,98.0,134.0,232.0,25.0,11.0,22.0,56.0,102.0,362.0,,,,,
2022,Dallas Wings,Regular Season,7,Tyasha Harris,24,35,5,552.0,69.0,166.0,0.416,17.0,55.0,0.309,52.0,111.0,0.468,19.0,24.0,0.792,6.0,26.0,32.0,99.0,13.0,4.0,39.0,35.0,174.0,,,,,
2022,Dallas Wings,Regular Season,8,Veronica Burton,21,36,6,548.0,25.0,76.0,0.329,12.0,43.0,0.279,13.0,33.0,0.394,32.0,32.0,1.0,18.0,36.0,54.0,68.0,34.0,11.0,35.0,51.0,94.0,1.0,7.0,Dallas Wingsfrom Chicago via Indiana,Northwestern,Northwestern
2022,Dallas Wings,Regular Season,9,Awak Kuier,20,33,0,416.0,34.0,86.0,0.395,4.0,21.0,0.19,30.0,65.0,0.462,19.0,31.0,0.613,23.0,59.0,82.0,29.0,13.0,29.0,19.0,26.0,91.0,,,,,
2022,Dallas Wings,Regular Season,10,Satou Sabally,24,11,6,239.0,41.0,103.0,0.398,10.0,43.0,0.233,31.0,60.0,0.517,32.0,35.0,0.914,9.0,44.0,53.0,23.0,5.0,2.0,25.0,35.0,124.0,,,,,
