Year,Round,Pick,Team,Player,Prior Team,College
2019,1,10,Washington Mystics,Kiara Leslie,NC State,NC State
2019,1,11,Atlanta Dream,Brianna Turner,Notre Dame,Notre Dame
2019,1,12,Seattle Storm,Ezi Magbegor,Melbourne Boomers,N/A
2019,2,13,Phoenix Mercuryfrom Indiana via Las Vegas,Sophie Cunningham,Missouri,Missouri
2019,2,14,New York Liberty,Han Xu,Xinjiang Magic Deer,N/A
2019,2,15,Chicago Sky,Chloe Jackson,Baylor,Baylor
2019,2,16,Minnesota Lynxfrom Las Vegas,Jessica Shepard,Notre Dame,Notre Dame
2019,2,17,Dallas Wings,Megan Gustafson,Iowa,Iowa
2019,2,18,Minnesota Lynx,Natisha Hiedeman,Marquette,Marquette
2019,2,19,Los Angeles Sparks,Marina Mabrey,Notre Dame,Notre Dame
2019,2,20,Minnesota Lynxfrom Phoenix,Cierra Dillard,Buffalo,Buffalo
2019,2,21,Connecticut Sunfrom Connecticut via Atlanta,Bridget Carleton,Iowa State,Iowa State
2019,2,22,Dallas Wingsfrom Washington,Kennedy Burke,UCLA,UCLA
2019,2,23,Atlanta Dream,Maite Cazorla,Oregon,Oregon
2019,2,24,Seattle Storm,Anriel Howard,Mississippi State,Mississippi State
2019,3,25,Indiana Fever,Paris Kea,North Carolina,North Carolina
2019,3,26,New York Liberty,Megan Huff,Utah,Utah
2019,3,27,Chicago Sky,María Conde,Wisła Can-Pack Kraków,N/A
2019,3,28,Indiana Feverfrom Las Vegas,Caliya Robinson,Georgia,Georgia
2019,3,29,Dallas Wings,Morgan Bertsch,UC Davis,UC Davis
2019,3,30,Minnesota Lynx,Kenisha Bell,Minnesota,Minnesota
2019,3,31,Los Angeles Sparks,Ángela Salvadores,Ensino,Duke
2019,3,32,Phoenix Mercury,Arica Carter,Louisville,Louisville
2019,3,33,Connecticut Sun,Regan Magarity,Virginia Tech,Virginia Tech
2019,3,34,Washington Mystics,Sam Fuehring,Louisville,Louisville
2019,3,35,Atlanta Dream,Li Yueru,Guangdong Vermilion Birds,N/A
2019,3,36,Seattle Storm,Macy Miller,South Dakota State,South Dakota State
