Season (Year),Team,Season or Playoff,Rank,Player,Age,Games,Games Started,Minutes Played,Field Goal,Field Goal Attempts,Field Goal %,3 Point Field Goals,3 Point Field Goals Attempts,3 Point Field Goals %,2 Point Field Goals,2 Point Field Goals Attempts,2 Point Field Goals %,Free Throws,Free Throw Attempts,Free Throw Attempts %,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2020,Las Vegas Aces,Regular Season,7,Carolyn Swords,30,22,21,384,23,50,0.46,0,0,,23,50,0.46,17,22,0.773,33,69,102,20,5,1,18,21,63
2020,Las Vegas Aces,Regular Season,8,Lindsay Allen,25,21,21,284,28,66,0.424,6,17,0.353,22,49,0.449,8,10,0.8,6,17,23,51,7,1,16,20,70
2020,Las Vegas Aces,Regular Season,9,Sugar Rodgers,30,22,1,263,26,81,0.321,20,64,0.313,6,17,0.353,3,4,0.75,3,25,28,31,7,3,16,25,75
2020,Las Vegas Aces,Regular Season,10,Cierra Burdick,26,13,0,28,2,7,0.286,0,0,,2,7,0.286,0,0,,1,4,5,2,0,0,1,2,4
2020,Las Vegas Aces,Regular Season,11,Avery Warley-Talbert,33,3,0,24,3,7,0.429,0,0,,3,7,0.429,2,3,0.667,5,3,8,3,0,0,2,6,8
2020,Las Vegas Aces,Regular Season,12,Megan Huff,24,4,0,11,0,2,0,0,1,0,0,1,0,0,0,,0,1,1,0,0,0,3,2,0
2020,Las Vegas Aces,Regular Season,13,Emma Cannon,31,1,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
2020,Las Vegas Aces,Playoffs,1,A'ja Wilson,23,8,8,283,62,131,0.473,0,0,,62,131,0.473,42,49,0.857,17,54,71,19,8,18,16,14,166
2020,Las Vegas Aces,Playoffs,2,Kayla McBride,28,8,8,247,28,70,0.4,10,29,0.345,18,41,0.439,10,10,1,1,26,27,23,4,1,11,11,76
2020,Las Vegas Aces,Playoffs,3,Danielle Robinson,31,8,7,239,27,68,0.397,3,9,0.333,24,59,0.407,16,22,0.727,8,27,35,31,10,0,12,9,73
2020,Las Vegas Aces,Playoffs,4,Angel McCoughtry,33,8,8,201,45,109,0.413,11,20,0.55,34,89,0.382,23,27,0.852,10,29,39,22,13,2,15,24,124
2020,Las Vegas Aces,Playoffs,5,Carolyn Swords,30,8,8,177,13,27,0.481,0,0,,13,27,0.481,0,0,,19,29,48,10,3,5,5,16,26
2020,Las Vegas Aces,Playoffs,6,Jackie Young,22,8,0,163,21,68,0.309,1,6,0.167,20,62,0.323,19,21,0.905,3,21,24,22,2,1,19,18,62
2020,Las Vegas Aces,Playoffs,7,Emma Cannon,31,6,0,86,11,22,0.5,1,5,0.2,10,17,0.588,0,2,0,6,7,13,5,0,0,10,19,23
2020,Las Vegas Aces,Playoffs,8,Sugar Rodgers,30,8,0,79,3,21,0.143,3,18,0.167,0,3,0,0,0,,1,8,9,8,2,0,5,9,9
2020,Las Vegas Aces,Playoffs,9,Dearica Hamby,26,3,0,75,9,17,0.529,1,5,0.2,8,12,0.667,5,8,0.625,2,7,9,7,2,0,8,8,24
2020,Las Vegas Aces,Playoffs,10,Lindsay Allen,25,5,1,32,3,9,0.333,0,3,0,3,6,0.5,0,0,,0,1,1,2,1,1,6,3,6
2020,Las Vegas Aces,Playoffs,11,Cierra Burdick,26,4,0,19,2,7,0.286,0,0,,2,7,0.286,0,0,,0,4,4,2,0,0,0,1,4
2020,Los Angeles Sparks,Regular Season,1,Chelsea Gray,27,22,22,679,122,276,0.442,18,59,0.305,104,217,0.479,46,49,0.939,15,66,81,116,34,2,60,38,308
2020,Los Angeles Sparks,Regular Season,2,Candace Parker,34,22,22,665,124,243,0.51,19,48,0.396,105,195,0.538,57,78,0.731,37,177,214,101,26,27,64,51,324
2020,Los Angeles Sparks,Regular Season,3,Brittney Sykes,26,21,14,517,73,150,0.487,16,49,0.327,57,101,0.564,50,62,0.806,16,38,54,45,31,6,36,62,212
2020,Los Angeles Sparks,Regular Season,4,Nneka Ogwumike,29,18,18,476,95,167,0.569,9,18,0.5,86,149,0.577,41,49,0.837,21,66,87,31,19,3,28,41,240
2020,Los Angeles Sparks,Regular Season,5,Riquna Williams,30,21,4,444,81,186,0.435,43,102,0.422,38,84,0.452,16,18,0.889,3,35,38,31,24,7,19,41,221
